epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,493.28,0.49836,1.54023,0.82323,0.84281,0.86891,0.92419,0.87703,0.31782,0.55408,0.78144,0.00333242,0.00333242,0.00333242
2,976.989,0.46283,0.773,0.81055,0.88961,0.91407,0.96237,0.92239,0.30131,0.41202,0.77849,0.00658327,0.00658327,0.00658327
3,1460.96,0.45699,0.71687,0.81084,0.89935,0.92963,0.97023,0.93804,0.28416,0.37102,0.77525,0.00975161,0.00975161,0.00975161
4,1944.32,0.43195,0.62092,0.80706,0.91781,0.94451,0.97963,0.95331,0.26993,0.30567,0.77254,0.00962875,0.00962875,0.00962875
5,2426.92,0.40813,0.52976,0.80315,0.93414,0.94811,0.98387,0.96006,0.26404,0.27721,0.77162,0.009505,0.009505,0.009505
6,2906.2,0.39851,0.48497,0.8019,0.93796,0.95507,0.98609,0.96364,0.26113,0.26119,0.77114,0.00938125,0.00938125,0.00938125
7,3384.84,0.39218,0.46014,0.80123,0.94449,0.95699,0.9876,0.96616,0.2596,0.25008,0.7709,0.0092575,0.0092575,0.0092575
8,3865.77,0.38807,0.4444,0.80055,0.95182,0.95643,0.98872,0.96794,0.2579,0.24147,0.77059,0.00913375,0.00913375,0.00913375
9,4347.14,0.38611,0.43404,0.79986,0.95334,0.96063,0.98972,0.96951,0.25624,0.23383,0.77015,0.00901,0.00901,0.00901
10,4829.81,0.3825,0.4242,0.7992,0.9555,0.96395,0.99041,0.97083,0.25491,0.22729,0.76981,0.00888625,0.00888625,0.00888625
11,5312.54,0.38011,0.41857,0.79888,0.95684,0.96618,0.99095,0.972,0.25334,0.22102,0.76941,0.0087625,0.0087625,0.0087625
12,5796.02,0.37875,0.41245,0.79888,0.95898,0.96657,0.99129,0.9728,0.2519,0.21637,0.76905,0.00863875,0.00863875,0.00863875
13,6279.07,0.37677,0.40759,0.79856,0.96113,0.96786,0.99151,0.97355,0.25051,0.21285,0.76873,0.008515,0.008515,0.008515
14,6760.74,0.37479,0.40256,0.7982,0.96198,0.96824,0.99164,0.97391,0.24967,0.20998,0.76854,0.00839125,0.00839125,0.00839125
15,7241.99,0.37207,0.39868,0.79789,0.9625,0.9683,0.99177,0.97469,0.24841,0.20727,0.7683,0.0082675,0.0082675,0.0082675
16,7725.46,0.36553,0.39286,0.79774,0.96345,0.9694,0.99191,0.97518,0.24749,0.20464,0.76808,0.00814375,0.00814375,0.00814375
17,8208.95,0.3616,0.38878,0.79717,0.96534,0.96856,0.99205,0.97545,0.24634,0.2016,0.76781,0.00802,0.00802,0.00802
18,8691.93,0.35899,0.38516,0.79699,0.9641,0.97059,0.99217,0.97608,0.24566,0.19921,0.76765,0.00789625,0.00789625,0.00789625
19,9175.76,0.35729,0.38122,0.79664,0.96583,0.97054,0.99225,0.97639,0.24482,0.19705,0.76749,0.0077725,0.0077725,0.0077725
20,9658.33,0.35534,0.37787,0.79631,0.96538,0.97222,0.99229,0.97672,0.24391,0.19531,0.76739,0.00764875,0.00764875,0.00764875
21,10139.7,0.3543,0.3764,0.79631,0.96739,0.97104,0.9924,0.97696,0.24324,0.19386,0.76724,0.007525,0.007525,0.007525
22,10621.2,0.35278,0.373,0.79599,0.96697,0.9718,0.99245,0.97717,0.24276,0.19268,0.76712,0.00740125,0.00740125,0.00740125
23,11103.2,0.35148,0.37017,0.79579,0.96656,0.97259,0.99248,0.97709,0.24231,0.19156,0.76696,0.0072775,0.0072775,0.0072775
24,11584.5,0.35008,0.36744,0.7956,0.96671,0.97306,0.99251,0.97728,0.24202,0.19074,0.76685,0.00715375,0.00715375,0.00715375
25,12063.2,0.34869,0.36558,0.79564,0.96748,0.97257,0.99253,0.97737,0.24134,0.18971,0.76674,0.00703,0.00703,0.00703
26,12540.2,0.34714,0.3618,0.79509,0.96779,0.97284,0.99261,0.97747,0.2409,0.18879,0.76666,0.00690625,0.00690625,0.00690625
27,13017.2,0.34603,0.35983,0.79528,0.96763,0.97306,0.99271,0.9778,0.24048,0.18764,0.7666,0.0067825,0.0067825,0.0067825
28,13497.4,0.34453,0.35709,0.79479,0.96954,0.97204,0.99273,0.9779,0.24009,0.18711,0.7665,0.00665875,0.00665875,0.00665875
29,13978.7,0.34377,0.35561,0.79467,0.96966,0.97276,0.99272,0.97804,0.23966,0.18679,0.76646,0.006535,0.006535,0.006535
30,14463.3,0.34286,0.35428,0.79448,0.96766,0.97424,0.99273,0.97828,0.23915,0.18621,0.76638,0.00641125,0.00641125,0.00641125
31,14950.5,0.34159,0.35181,0.79426,0.97016,0.9725,0.99278,0.97866,0.23807,0.18485,0.76623,0.0062875,0.0062875,0.0062875
32,15433.2,0.34073,0.34872,0.79439,0.97183,0.97216,0.99287,0.9788,0.23744,0.18354,0.76612,0.00616375,0.00616375,0.00616375
33,15916.8,0.33977,0.34655,0.79416,0.97202,0.97211,0.99289,0.979,0.23695,0.18276,0.76608,0.00604,0.00604,0.00604
34,16410.6,0.33786,0.34384,0.79352,0.97154,0.97262,0.99295,0.97919,0.23659,0.18208,0.76602,0.00591625,0.00591625,0.00591625
35,16895.8,0.3369,0.34161,0.79349,0.9725,0.9728,0.99296,0.97938,0.23582,0.18135,0.76591,0.0057925,0.0057925,0.0057925
